2081748	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Cloning_vector_pCA-DEST2203']
1945464	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Yeast_expression_vector_pAS2-mRIP1-ID-DD']
1924262	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Cloning_vector_pTZvec008_0218pta']
1931145	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Cloning_vector_pNOV052']
984255	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Expression_vector_LMP-1']
2081725	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Cloning_vector_pCA-DEST1201']
1945471	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Yeast_expression_vector_pEX2kanMX4']
459231	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 'UNKNOWN__eukaryotic_vectors', 's__FLAG-tagging_vector_pFLAG97-TSR']
2081735	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Cloning_vector_pCA-DEST1310']
1937186	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Cloning_vector_NZ3900/pNZ8110-napA-lysM']
395074	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__HIV-1_vector_pNL-DT5R']
2136766	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Expression_vector_pCPC45']
1945470	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Yeast_expression_vector_pEX2']
1790066	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Binary_vector_pARS3m-GUSPlus']
1356770	['UNKNOWN__root', 'UNKNOWN__unclassified_sequences', 'UNKNOWN__mixed_culture', 'UNKNOWN__environmental_samples', 's__methanogenic_prokaryote_enrichment_culture_B31_2_46']
12908	['UNKNOWN__root', 'UNKNOWN__unclassified_sequences']
1977346	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Cloning_vector_pWW3804']
2005482	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 's__synthetic_construct_(code_12)']
1704089	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 'UNKNOWN__eukaryotic_vectors', 's__Tetrahymena_transformation_vector_pMcoDel']
455519	['UNKNOWN__root', 'UNKNOWN__unclassified_sequences', 'UNKNOWN__environmental_samples', 'UNKNOWN__prokaryotic_environmental_samples', 's__uncultured_marine_microorganism_HF4000_093M11']
1209497	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Cloning_vector_DH6-56']
2081737	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Cloning_vector_pCA-DEST1330']
993052	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Cloning_vector_pGEM/hM33_US28']
311313	['UNKNOWN__root', 'UNKNOWN__other_sequences', 'UNKNOWN__artificial_sequences', 'UNKNOWN__vectors', 's__Chloroplast_transformation_vector_pCLT327']
